"Step","phase_pb_warmup6iter_length200_seed2 - 4cover_rate"
"180000","0.598"
"360000","0.6043999999999999"
"540000","0.6097"
"720000","0.6122000000000001"
"900000","0.6175"
"1080000","0.6208"
"1260000","0.6115"
"1440000","0.5882999999999999"
"1620000","0.5776"
"1800000","0.5665"
"1980000","0.5836"
"2160000","0.5979"
"2340000","0.5926"
"2520000","0.5868000000000001"
"2700000","0.5923999999999999"
"2880000","0.5824000000000001"
"3060000","0.5862"
"3240000","0.5935"
"3420000","0.5888"
"3600000","0.5745"
"3780000","0.594"
"3960000","0.5902000000000001"
"4140000","0.5818"
"4320000","0.5992000000000001"
"4500000","0.6038"
"4680000","0.5856"
"4860000","0.5905999999999999"
"5040000","0.5912000000000001"
"5220000","0.587"
"5400000","0.5855"
"5580000","0.6013999999999999"
"5760000","0.5871000000000001"
"5940000","0.5992999999999999"
"6120000","0.59"
"6300000","0.5892999999999999"
"6480000","0.5749"
"6660000","0.579"
"6840000","0.5806"
"7020000","0.58"
"7200000","0.5842"
"7380000","0.568"
"7560000","0.5688"
"7740000","0.5681"
"7920000","0.5802999999999999"
"8100000","0.5829"
"8280000","0.5915"
"8460000","0.5605"
"8640000","0.558"
"8820000","0.5906"
"9000000","0.59"
"9180000","0.5692999999999999"
"9360000","0.5797"
"9540000","0.556"
"9720000","0.5657000000000001"
"9900000","0.5789"
"10080000","0.5711"
"10260000","0.5682"
"10440000","0.5649"
"10620000","0.569"
"10800000","0.565"
"10980000","0.5545"
"11160000","0.5397000000000001"
"11340000","0.5405"
"11520000","0.5355"
"11700000","0.5605"
"11880000","0.5525"
"12060000","0.5605"
"12240000","0.558"
"12420000","0.567"
"12600000","0.5872"
"12780000","0.5735"
"12960000","0.5534"
"13140000","0.5498999999999999"
"13320000","0.5628"
"13500000","0.5565999999999999"
"13680000","0.5557000000000001"
"13860000","0.567"
"14040000","0.5648"
"14220000","0.5595"
"14400000","0.5732"
"14580000","0.5650999999999999"
"14760000","0.5634"
"14940000","0.5646"
"15120000","0.556"
"15300000","0.5615"
"15480000","0.5458"
"15660000","0.5487000000000001"
"15840000","0.5444000000000001"
"16020000","0.5487000000000001"
"16200000","0.5636"
"16380000","0.5475"
"16560000","0.5702999999999999"
"16740000","0.55"
"16920000","0.5621"
"17100000","0.5660999999999999"
"17280000","0.562"
"17460000","0.5767"
"17640000","0.5791000000000001"
"17820000","0.567"
"18000000","0.5745"
"18180000","0.5542999999999999"
"18360000","0.5642999999999999"
"18540000","0.5634"
"18720000","0.5645"
"18900000","0.5742999999999999"
"19080000","0.5869"
"19260000","0.5886"
"19440000","0.5681"
"19620000","0.575"
"19800000","0.5787"
"19980000","0.5877"
"20160000","0.5844"
"20340000","0.5852"
"20520000","0.5865"
"20700000","0.5805"
"20880000","0.5886"
"21060000","0.5795"
"21240000","0.5887"
"21420000","0.5904"
"21600000","0.6016"
"21780000","0.5877"
"21960000","0.5992999999999999"
"22140000","0.6002"
"22320000","0.5828"
"22500000","0.5888"
"22680000","0.6036"
"22860000","0.5935"
