"Step","mix37_sp_seed2 - 8cover_rate"
"136500","0.8603"
"241500","0.8779000000000001"
"346500","0.8856499999999999"
"451500","0.8708"
"556500","0.877"
"661500","0.8558499999999999"
"766500","0.84565"
"871500","0.8469500000000001"
"976500","0.8424499999999999"
"1081500","0.85685"
"1186500","0.8248499999999999"
"1291500","0.8475999999999999"
"1396500","0.8412000000000001"
"1501500","0.8295"
"1606500","0.81905"
"1711500","0.85465"
"1816500","0.8511499999999999"
"1921500","0.8261499999999999"
"2026500","0.8461"
"2131500","0.86285"
"2236500","0.85485"
"2341500","0.82655"
"2446500","0.8184499999999999"
"2551500","0.8354000000000001"
"2656500","0.7898999999999999"
"2761500","0.8055999999999999"
"2866500","0.8331999999999999"
"2971500","0.8205"
"3076500","0.8234000000000001"
"3181500","0.8623"
"3286500","0.86095"
"3391500","0.85465"
"3496500","0.8625"
"3601500","0.85615"
"3706500","0.85725"
"3811500","0.8672000000000001"
"3916500","0.8585499999999999"
"4021500","0.7568499999999999"
"4126500","0.7633"
"4231500","0.7781999999999999"
"4336500","0.7706999999999999"
"4441500","0.7801999999999999"
"4546500","0.7898999999999999"
"4651500","0.80965"
"4756500","0.8169000000000001"
"4861500","0.83695"
"4966500","0.8155"
"5071500","0.81665"
"5176500","0.8422"
"5281500","0.8391500000000001"
"5386500","0.8546"
"5491500","0.83865"
"5596500","0.8505"
"5701500","0.8216"
"5806500","0.8438"
"5911500","0.8498"
"6016500","0.842"
"6121500","0.8538000000000001"
"6226500","0.8525499999999999"
"6331500","0.8482999999999999"
"6436500","0.86275"
"6541500","0.8593"
"6646500","0.82985"
"6751500","0.83665"
"6856500","0.8281000000000001"
"6961500","0.837"
"7066500","0.85965"
"7171500","0.84915"
"7276500","0.8589499999999999"
"7381500","0.83745"
"7486500","0.86345"
"7591500","0.8576500000000001"
"7696500","0.8486"
"7801500","0.8607"
"7906500","0.8561"
"8011500","0.8621"
"8116500","0.8533"
"8221500","0.86"
"8326500","0.8787999999999999"
"8431500","0.8745499999999999"
"8536500","0.88435"
"8641500","0.8797"
"8746500","0.8583999999999999"
"8851500","0.862"
"8956500","0.8482"
"9061500","0.8686"
"9166500","0.8705"
"9271500","0.8624499999999999"
"9376500","0.8564499999999999"
"9481500","0.87"
"9586500","0.8506500000000001"
"9691500","0.8710999999999999"
"9796500","0.86265"
"9901500","0.8633"
"10006500","0.8576999999999999"
"10111500","0.8463499999999999"
"10216500","0.84765"
"10321500","0.8603500000000001"
"10426500","0.87095"
"10531500","0.8834"
"10636500","0.8635499999999999"
"10741500","0.8505"
"10846500","0.87305"
"10951500","0.8584499999999999"
"11056500","0.8838999999999999"
"11161500","0.8718999999999999"
"11266500","0.86645"
"11371500","0.8762"
"11476500","0.90335"
"11581500","0.89745"
"11686500","0.90375"
"11791500","0.8806999999999999"
"11896500","0.8952"
"12001500","0.9044"
"12106500","0.9178"
"12211500","0.9118999999999998"
"12316500","0.925"
"12421500","0.92615"
"12526500","0.9129"
"12631500","0.92905"
"12736500","0.91075"
"12841500","0.90825"
"12946500","0.91525"
"13051500","0.9051"
"13156500","0.9092"
"13261500","0.9046499999999998"
"13366500","0.90025"
"13471500","0.9171"
"13576500","0.9125"
"13681500","0.9127"
"13786500","0.91915"
"13891500","0.94085"
"13996500","0.93535"
"14101500","0.93655"
"14206500","0.9201"
"14311500","0.91805"
"14416500","0.92265"
