"Step","reverse_eval1_sp_seed3 - cover_rate_5step"
"35000","0.0018"
"70000","0.0003"
"105000","0.0005"
"140000","0.0015"
"175000","0.004"
"210000","0.004"
"245000","0.0035"
"280000","0.0035"
"315000","0.004"
"350000","0.002"
"385000","0.003"
"420000","0.003"
"455000","0.0035"
"490000","0.0025"
"525000","0.0045"
"560000","0.005"
"595000","0.004200000000000001"
"630000","0.0029"
"665000","0.0039"
"700000","0.0093"
"735000","0.0056"
"770000","0.008100000000000001"
"805000","0.0127"
"840000","0.0101"
"875000","0.0151"
"910000","0.0231"
"945000","0.0401"
"980000","0.0502"
"1015000","0.0944"
"1050000","0.109"
"1085000","0.1136"
"1120000","0.109"
"1155000","0.1229"
"1190000","0.1036"
"1225000","0.1215"
"1260000","0.128"
"1295000","0.1374"
"1330000","0.13889999999999997"
"1365000","0.1239"
"1400000","0.1436"
"1435000","0.12869999999999998"
"1470000","0.1304"
"1505000","0.1295"
"1540000","0.1662"
"1575000","0.1709"
"1610000","0.1612"
"1645000","0.1506"
"1680000","0.17939999999999998"
"1715000","0.185"
"1750000","0.2119"
"1785000","0.20059999999999997"
"1820000","0.17980000000000002"
"1855000","0.1904"
"1890000","0.1947"
"1925000","0.1822"
"1960000","0.1856"
"1995000","0.1859"
"2030000","0.1728"
"2065000","0.1695"
"2100000","0.166"
"2135000","0.1839"
"2170000","0.1846"
"2205000","0.1852"
"2240000","0.1691"
"2275000","0.1833"
"2310000","0.1612"
"2345000","0.1757"
"2380000","0.1822"
"2415000","0.1447"
"2450000","0.13269999999999998"
"2485000","0.141"
"2520000","0.1392"
"2555000","0.1144"
"2590000","0.1375"
"2625000","0.1402"
"2660000","0.138"
"2695000","0.14439999999999997"
"2730000","0.1481"
"2765000","0.1438"
"2800000","0.1544"
"2835000","0.1479"
"2870000","0.13689999999999997"
"2905000","0.1318"
"2940000","0.137"
"2975000","0.13610000000000003"
"3010000","0.1316"
"3045000","0.1451"
"3080000","0.13210000000000002"
"3115000","0.1524"
"3150000","0.1413"
"3185000","0.14930000000000002"
"3220000","0.1526"
"3255000","0.1453"
"3290000","0.157"
"3325000","0.15130000000000002"
"3360000","0.15"
"3395000","0.14529999999999998"
"3430000","0.15319999999999998"
"3465000","0.1507"
"3500000","0.15330000000000002"
"3535000","0.13860000000000003"
"3570000","0.1433"
"3605000","0.1571"
"3640000","0.1469"
"3675000","0.15130000000000002"
"3710000","0.15039999999999998"
"3745000","0.15880000000000002"
"3780000","0.15630000000000002"
"3815000","0.1545"
"3850000","0.15919999999999998"
"3885000","0.15669999999999998"
"3920000","0.157"
"3955000","0.1738"
"3990000","0.1675"
"4025000","0.1725"
"4060000","0.1793"
"4095000","0.1758"
"4130000","0.1738"
"4165000","0.1831"
"4200000","0.1862"
"4235000","0.1797"
"4270000","0.1894"
"4305000","0.1859"
"4340000","0.1802"
"4375000","0.1894"
"4410000","0.1729"
"4445000","0.1741"
"4480000","0.1782"
"4515000","0.1874"
"4550000","0.1836"
"4585000","0.1918"
"4620000","0.1868"
"4655000","0.1888"
"4690000","0.1893"
"4725000","0.1672"
"4760000","0.2035"
"4795000","0.1907"
"4830000","0.1983"
"4865000","0.2002"
"4900000","0.17720000000000002"
"4935000","0.2006"
"4970000","0.1893"
"5005000","0.18419999999999995"
"5040000","0.1956"
"5075000","0.1937"
"5110000","0.1892"
"5145000","0.2031"
"5180000","0.1968"
"5215000","0.1844"
"5250000","0.1936"
"5285000","0.1899"
"5320000","0.1871"
"5355000","0.1956"
"5390000","0.17089999999999997"
"5425000","0.178"
"5460000","0.19290000000000004"
"5495000","0.2058"
"5530000","0.1984"
"5565000","0.1884"
"5600000","0.1859"
"5635000","0.1736"
"5670000","0.1868"
"5705000","0.1884"
"5740000","0.1804"
"5775000","0.1707"
"5810000","0.16739999999999997"
"5845000","0.1834"
"5880000","0.1677"
"5915000","0.1692"
"5950000","0.1847"
"5985000","0.1923"
"6020000","0.1939"
"6055000","0.203"
"6090000","0.183"
"6125000","0.176"
"6160000","0.1759"
"6195000","0.1793"
"6230000","0.2087"
"6265000","0.1919"
"6300000","0.18370000000000003"
"6335000","0.1903"
"6370000","0.1867"
"6405000","0.1829"
"6440000","0.1873"
"6475000","0.1856"
"6510000","0.1971"
"6545000","0.1888"
"6580000","0.184"
"6615000","0.1852"
"6650000","0.1836"
"6685000","0.2082"
"6720000","0.199"
"6755000","0.2147"
"6790000","0.2007"
"6825000","0.2103"
"6860000","0.20789999999999997"
"6895000","0.20970000000000005"
"6930000","0.1973"
