"Step","mix37_seed2 - 4cover_rate"
"198000","0.6573000000000001"
"432000","0.6519000000000001"
"666000","0.671"
"900000","0.6570999999999999"
"1134000","0.6708"
"1368000","0.6708999999999999"
"1602000","0.6638999999999999"
"1836000","0.658"
"2070000","0.6616000000000001"
"2304000","0.677"
"2538000","0.6653"
"2772000","0.6648999999999999"
"3006000","0.669"
"3240000","0.6477999999999999"
"3474000","0.6472"
"3708000","0.6464000000000001"
"3942000","0.6549"
"4176000","0.6434"
"4410000","0.6532"
"4644000","0.671"
"4878000","0.6657000000000001"
"5112000","0.6517000000000001"
"5346000","0.6507000000000001"
"5580000","0.6403"
"5814000","0.6543"
"6048000","0.6570999999999999"
"6282000","0.6748000000000001"
"6516000","0.6427999999999999"
"6750000","0.6335"
"6984000","0.6895"
"7218000","0.6551"
"7452000","0.6543000000000001"
"7686000","0.6644"
"7920000","0.6437"
"8154000","0.6563"
"8388000","0.665"
"8622000","0.652"
"8856000","0.6620999999999999"
"9090000","0.6738000000000001"
"9324000","0.6553"
"9558000","0.6495"
"9792000","0.655"
"10026000","0.6634"
"10260000","0.6565"
"10494000","0.6741"
"10728000","0.6724000000000001"
"10962000","0.6691"
"11196000","0.6648"
"11430000","0.6540999999999999"
"11664000","0.6333"
"11898000","0.6226"
"12132000","0.6277999999999999"
"12366000","0.6184"
"12600000","0.6088"
"12834000","0.6177"
"13068000","0.6245"
"13302000","0.6040999999999999"
"13536000","0.6185"
"13770000","0.6247999999999999"
"14004000","0.6161"
"14238000","0.6222000000000001"
"14472000","0.6265"
"14706000","0.6472"
"14940000","0.6303999999999998"
"15174000","0.6155"
"15408000","0.621"
"15642000","0.6123999999999999"
"15876000","0.6193"
"16110000","0.582"
"16344000","0.5883999999999999"
"16578000","0.6022"
"16812000","0.6083999999999999"
"17046000","0.6176"
"17280000","0.6219000000000001"
"17514000","0.6276"
"17748000","0.6264000000000001"
"17982000","0.6201"
"18216000","0.6159000000000001"
"18450000","0.6320999999999999"
"18684000","0.6365"
"18918000","0.6407"
"19152000","0.6257"
"19386000","0.6303"
"19620000","0.6514000000000001"
"19854000","0.6443"
"20088000","0.6313"
"20322000","0.6416999999999999"
"20556000","0.6364"
"20790000","0.6489"
"21024000","0.6449"
"21258000","0.6615"
"21492000","0.6631"
"21726000","0.6483000000000001"
"21960000","0.6477999999999999"
"22194000","0.666"
"22428000","0.6565"
"22662000","0.6729"
"22896000","0.6649"
"23130000","0.6701"
"23364000","0.6648"
"23598000","0.6683000000000001"
"23832000","0.6799000000000001"
"24066000","0.6665999999999999"
"24300000","0.6658999999999999"
"24534000","0.6663"
"24768000","0.6718"
"25002000","0.6642"
"25236000","0.6805999999999999"
"25470000","0.6786"
"25704000","0.6436000000000001"
"25938000","0.6705"
"26172000","0.6623000000000001"
"26406000","0.6683"
