"Step","mix37_seed3 - 4cover_rate"
"198000","0.6972999999999999"
"432000","0.6782999999999999"
"666000","0.6907000000000001"
"900000","0.6859"
"1134000","0.7067"
"1368000","0.7029000000000001"
"1602000","0.6889"
"1836000","0.714"
"2070000","0.6904000000000001"
"2304000","0.6932999999999999"
"2538000","0.6873"
"2772000","0.6919000000000001"
"3006000","0.7156"
"3240000","0.6925"
"3474000","0.6918"
"3708000","0.6892"
"3942000","0.6972999999999999"
"4176000","0.6974000000000001"
"4410000","0.6957000000000001"
"4644000","0.6835"
"4878000","0.6754"
"5112000","0.682"
"5346000","0.6947000000000001"
"5580000","0.6967000000000001"
"5814000","0.7189000000000001"
"6048000","0.6982999999999999"
"6282000","0.7084000000000001"
"6516000","0.6874"
"6750000","0.7011"
"6984000","0.6972999999999999"
"7218000","0.6965"
"7452000","0.6945999999999999"
"7686000","0.6717000000000001"
"7920000","0.6835"
"8154000","0.6875999999999999"
"8388000","0.6848"
"8622000","0.7079"
"8856000","0.6927000000000001"
"9090000","0.6945999999999999"
"9324000","0.6947000000000001"
"9558000","0.6967000000000001"
"9792000","0.6908"
"10026000","0.6825"
"10260000","0.6881"
"10494000","0.686"
"10728000","0.6800999999999999"
"10962000","0.7009"
"11196000","0.6878"
"11430000","0.6972999999999999"
"11664000","0.6845"
"11898000","0.6952"
"12132000","0.6971999999999999"
"12366000","0.6935"
"12600000","0.7048"
"12834000","0.6945"
"13068000","0.6985"
"13302000","0.7087"
"13536000","0.7034"
"13770000","0.703"
"14004000","0.7004"
"14238000","0.7118000000000001"
"14472000","0.7124000000000001"
"14706000","0.7291000000000001"
"14940000","0.7045999999999999"
"15174000","0.7121000000000001"
"15408000","0.7097"
"15642000","0.7052"
"15876000","0.7155"
"16110000","0.6917000000000001"
"16344000","0.6965999999999999"
"16578000","0.7016"
"16812000","0.7163999999999999"
"17046000","0.7013"
"17280000","0.7098"
"17514000","0.7173999999999999"
"17748000","0.705"
"17982000","0.7159000000000001"
"18216000","0.7142000000000001"
"18450000","0.7337"
"18684000","0.7157"
"18918000","0.7316"
"19152000","0.727"
"19386000","0.7362000000000001"
"19620000","0.7149"
"19854000","0.7161"
"20088000","0.7298"
"20322000","0.7236"
"20556000","0.7102999999999999"
"20790000","0.7218"
"21024000","0.72"
"21258000","0.7271"
"21492000","0.725"
"21726000","0.7307"
"21960000","0.7235"
"22194000","0.7289"
"22428000","0.7451"
"22662000","0.7303"
"22896000","0.718"
"23130000","0.7255"
"23364000","0.7290999999999999"
"23598000","0.7315"
"23832000","0.7184"
"24066000","0.7132000000000001"
"24300000","0.7333"
"24534000","0.7264"
"24768000","0.7172000000000001"
"25002000","0.7175"
"25236000","0.6958"
"25470000","0.7131"
"25704000","0.7234"
"25938000","0.7348"
"26172000","0.7136"
"26406000","0.7345"
"26640000","0.7423"
"26874000","0.7425"
"27108000","0.7233999999999999"
"27342000","0.7427999999999999"
"27576000","0.7232999999999999"
"27810000","0.7175"
"28044000","0.7417999999999999"
"28278000","0.7373"
"28512000","0.7293"
"28746000","0.7403"
"28980000","0.7286999999999999"
"29214000","0.7203999999999999"
"29448000","0.7479"
"29682000","0.7369000000000001"
"29916000","0.7571"
"30150000","0.734"
"30384000","0.7522000000000001"
"30618000","0.7276000000000001"
"30852000","0.7315"
"31086000","0.7188"
"31320000","0.7249"
"31554000","0.7367999999999999"
"31788000","0.7175"
"32022000","0.7189"
"32256000","0.7097"
"32490000","0.7162000000000001"
"32724000","0.7214"
"32958000","0.7377999999999999"
"33192000","0.7402000000000001"
"33426000","0.7269"
"33660000","0.7479"
"33894000","0.7487"
"34128000","0.7384"
"34362000","0.7531"
"34596000","0.7427999999999999"
"34830000","0.7549000000000001"
"35064000","0.7584000000000001"
"35298000","0.7576"
"35532000","0.7651999999999999"
"35766000","0.7592000000000001"
"36000000","0.7681"
"36234000","0.7547999999999999"
"36468000","0.7615"
"36702000","0.7548"
"36936000","0.7527999999999999"
"37170000","0.7696"
"37404000","0.7704"
"37638000","0.7562000000000001"
"37872000","0.7521"
"38106000","0.743"
"38340000","0.7676999999999999"
"38574000","0.7517999999999999"
"38808000","0.7554000000000001"
"39042000","0.7457999999999999"
"39276000","0.7552000000000001"
"39510000","0.7551"
"39744000","0.7642"
"39978000","0.7552000000000001"
"40212000","0.7377999999999999"
"40446000","0.7363"
"40680000","0.7401"
"40914000","0.7446"
"41148000","0.7477"
"41382000","0.7563"
"41616000","0.7622000000000001"
"41850000","0.7557999999999999"
"42084000","0.7467999999999999"
"42318000","0.7519000000000001"
"42552000","0.7761999999999999"
"42786000","0.7582000000000001"
"43020000","0.7602000000000001"
"43254000","0.7576999999999999"
"43488000","0.7616"
"43722000","0.776"
"43956000","0.773"
"44190000","0.7619"
"44424000","0.7172000000000001"
"44658000","0.7152999999999999"
"44892000","0.7348"
"45126000","0.7497999999999999"
"45360000","0.7230999999999999"
"45594000","0.7453000000000001"
"45828000","0.7594"
"46062000","0.7526"
"46296000","0.7457999999999999"
"46530000","0.7456"
"46764000","0.745"
"46998000","0.7677"
"47232000","0.7480999999999999"
"47466000","0.7616"
